length_nm,ngm_id,nft
540,2.625,5213000000
540,2.563,5218000000
540,2.502,5221000000
540,2.442,5221000000
540,2.385,5218000000
540,2.329,5212000000
540,2.274,5204000000
540,2.221,5193000000
540,2.169,5179000000
540,2.119,5163000000
540,2.07,5145000000
540,2.022,5125000000
540,1.976,5102000000
540,1.931,5078000000
540,1.887,5052000000
540,1.844,5024000000
720,23.84,103100000
720,23.6,123600000
720,23.33,147100000
720,23.01,174000000
720,22.64,204800000
720,22.21,239900000
720,21.72,279800000
720,21.16,325100000
720,20.53,376100000
720,19.86,432900000
720,19.14,495600000
720,18.39,563800000
720,17.61,637100000
720,16.83,714800000
720,16.05,796100000
720,15.28,880100000
720,14.52,965900000
720,13.8,1053000000
720,13.1,1140000000
720,12.43,1226000000
720,11.8,1311000000
720,11.21,1395000000
720,10.65,1477000000
720,10.12,1556000000
720,9.635,1634000000
720,9.178,1709000000
720,8.752,1781000000
720,8.355,1852000000
720,7.986,1920000000
720,7.642,1987000000
720,7.322,2051000000
720,7.024,2113000000
720,6.746,2174000000
720,6.486,2233000000
720,6.243,2290000000
720,6.016,2346000000
720,5.803,2400000000
720,5.603,2453000000
720,5.415,2505000000
720,5.238,2555000000
720,5.071,2604000000
720,4.913,2651000000
720,4.764,2698000000
720,4.622,2742000000
720,4.487,2786000000
720,4.358,2828000000
720,4.236,2868000000
720,4.119,2907000000
720,4.007,2944000000
720,3.899,2980000000
720,3.796,3014000000
720,3.696,3046000000
720,3.601,3076000000
720,3.508,3104000000
720,3.419,3130000000
720,3.333,3154000000
720,3.249,3177000000
720,3.168,3197000000
720,3.09,3214000000
720,3.013,3230000000
720,2.939,3243000000
720,2.867,3254000000
720,2.797,3263000000
720,2.728,3270000000
720,2.662,3275000000
720,2.597,3277000000
720,2.534,3277000000
720,2.472,3276000000
720,2.413,3272000000
720,2.355,3267000000
720,2.298,3260000000
720,2.243,3251000000
720,2.19,3241000000
720,2.138,3229000000
720,2.087,3216000000
720,2.039,3201000000
720,1.991,3186000000
720,1.945,3169000000
720,1.9,3152000000
720,1.857,3133000000
720,1.815,3114000000
900,23.57,85620000
900,23.29,101400000
900,22.97,119400000
900,22.59,139900000
900,22.15,163200000
900,21.64,189800000
900,21.07,219900000
900,20.44,253700000
900,19.76,291500000
900,19.04,333000000
900,18.28,378300000
900,17.51,426800000
900,16.73,478300000
900,15.95,532100000
900,15.18,587700000
900,14.44,644500000
900,13.72,702000000
900,13.03,759600000
900,12.37,817000000
900,11.75,873700000
900,11.16,929500000
900,10.61,984100000
900,10.1,1038000000
900,9.615,1090000000
900,9.165,1140000000
900,8.746,1190000000
900,8.355,1237000000
900,7.992,1284000000
900,7.654,1329000000
900,7.338,1374000000
900,7.045,1417000000
900,6.771,1459000000
900,6.515,1500000000
900,6.275,1540000000
900,6.051,1579000000
900,5.841,1617000000
900,5.644,1655000000
900,5.458,1691000000
900,5.283,1727000000
900,5.118,1762000000
900,4.961,1796000000
900,4.813,1829000000
900,4.672,1861000000
900,4.538,1893000000
900,4.411,1923000000
900,4.289,1952000000
900,4.172,1981000000
900,4.06,2008000000
900,3.953,2034000000
900,3.849,2059000000
900,3.75,2082000000
